Slno,Videotitles,Published_date,Views,Likes,Comments,Month
0,Shiny for Python Components and Layouts | Customizing You Web App,02-07-2024,2377,91,3,Jul
1,Shiny for Python Setup and Install | Deploying First Shiny App,25-06-2024,4836,190,28,Jun
2,Is the Economy on the Brink of a Recession? | Let's Look at the Data!,18-06-2024,10671,661,126,Jun
3,Top 5 Most Common Excel Functions in Excel,11-06-2024,5449,284,7,Jun
4,5 Awesome Excel Functions You've Probably Never Heard Of,04-06-2024,4434,208,16,Jun
5,How to Create Custom Functions in Excel | Lambda Functions,28-05-2024,4848,186,12,May
6,Top 5 Most Popular Functions In Microsoft Excel,21-05-2024,13546,391,26,May
7,Infrastructure of Analyst Builder | Entire Tech Stack | Part 3,14-05-2024,3834,75,9,May
8,2 Hour Data Analyst Interview Masterclass | Interview Better Than The Competition,07-05-2024,51391,1965,50,May
9,Challenges of Creating Analyst Builder | Challenges of a Startup | Part 2,07-05-2024,2163,59,11,May
10,How We Started Analyst Builder | How We Created It | Part 1,30-04-2024,5725,198,35,Apr
11,MySQL Exploratory Data Analysis | Full Project,23-04-2024,39849,1042,61,Apr
12,750k Subscriber Livestream! | Giveaways | Songs | Q/A,18-04-2024,5105,231,14,Apr
13,Data Cleaning in MySQL | Full Project,16-04-2024,85089,2278,308,Apr
14,How to get Promoted as a Data Analyst | Alex The Analyst Show Episode 26,09-04-2024,7894,246,77,Apr
15,Triggers and Events in MySQL | Advanced MySQL Series,02-04-2024,24016,883,35,Apr
16,How to give up on the job search fast,27-03-2024,11385,747,20,Mar
17,Stored Procedures in MySQL | Advanced MySQL Series,26-03-2024,24961,569,28,Mar
18,Temp Tables in MySQL | Advanced MySQL Series,19-03-2024,20046,505,28,Mar
19,CTEs in MySQL | Advanced MySQL Series,12-03-2024,32673,644,30,Mar
20,7 Mistakes to Avoid During Your Data Analyst Job Search,05-03-2024,17934,676,50,Mar
21,#DataAnalyst #AnalystBuilder #SQL,01-03-2024,12281,831,14,Mar
22,Q/A Livestream | February Livestream | Ask Me Anything!,29-02-2024,5478,191,7,Feb
23,Window Functions in MySQL | Intermediate MySQL,27-02-2024,38271,1158,54,Feb
24,Twitter making me tear up over here 🥹,23-02-2024,5505,256,11,Feb
25,Subqueries in MySQL | Intermediate MySQL,20-02-2024,33075,643,31,Feb
26,Case Statements in MySQL | Intermediate MySQL,13-02-2024,29819,642,32,Feb
27,We did our best,08-02-2024,5184,197,5,Feb
28,"Microsoft Copilot Full Review | AI in Word, PowerPoint, Excel and More!",06-02-2024,66952,848,47,Feb
29,Top 5 Emerging Trends in 2024 | CareerFoundry Webinar,30-01-2024,13117,475,10,Jan
30,String Functions in MySQL | Intermediate MySQL Series,30-01-2024,31910,674,21,Jan
31,Unions in MySQL | Intermediate MySQL,23-01-2024,30505,662,32,Jan
32,Joins in MySQL | Intermediate MySQL,16-01-2024,66851,978,52,Jan
33,Is my background in Data Analytics?,15-01-2024,15125,978,16,Jan
34,Solving VERY HARD SQL Interview Questions on Analyst Builder,11-01-2024,13950,403,16,Jan
35,Solving HARD SQL Interview Questions on Analyst Builder,09-01-2024,20767,434,33,Jan
36,Hard Skills vs Soft Skills,08-01-2024,9454,667,3,Jan
37,Solving Medium SQL Interview Questions on Analyst Builder,04-01-2024,21347,499,43,Jan
38,Solving Easy SQL Interview Questions on Analyst Builder,02-01-2024,36493,911,48,Jan
39,How I Would Become a Data Analyst if I had to Start Over in 2024 | 6 Month Plan,26-12-2023,276709,11216,333,Dec
40,Limit + Aliasing in MySQL | MySQL Beginner Series,19-12-2023,35671,767,28,Dec
41,Practice SQL and Python right on your Phone!,13-12-2023,8123,568,19,Dec
42,Analyst Builder Full Launch! | The Learning Platform Built for Data Analysts,12-12-2023,22388,981,109,Dec
43,Analyst Builder Full Launch LiveStream | 20% Off Code & Giveaways,11-12-2023,11662,473,14,Dec
44,Having vs Where in MySQL | Beginner MySQL Series,05-12-2023,40201,855,23,Dec
45,#Excel is Frustrating,29-11-2023,10049,655,8,Nov
